Date,10 Year Treasury Yield,3 Month Treasury Yield,3 Month Treasury Yield (Bond Equivalent Basis),Spread,Rec_prob,NBER_Rec
1966-07-31,5.02,4.8,4.926440815224726,0.09355918477527325,0.2409457339225455,0.0
1966-08-31,5.22,4.96,5.092740538034647,0.12725946196535265,0.23119604649461525,0.0
1966-09-30,5.18,5.37,5.51950602807611,-0.3395060280761104,0.23951356645054406,0.0
1966-10-31,5.01,5.35,5.498667395035358,-0.4886673950353586,0.25021583656574775,0.0
1966-11-30,5.16,5.32,5.467413449983501,-0.3074134499835006,0.242650991614568,0.0
1966-12-31,4.84,4.96,5.092740538034647,-0.25274053803464724,0.26919776170340287,0.0
1967-01-31,4.58,4.72,4.84334200719248,-0.26334200719248013,0.3188110433464554,0.0
1967-02-28,4.63,4.56,4.677246393428249,-0.047246393428249434,0.28404618812583693,0.0
1967-03-31,4.54,4.26,4.3661831825709845,0.17381681742901556,0.2625165917642375,0.0
1967-04-30,4.59,3.84,3.931495045239121,0.658504954760879,0.29462052609939426,0.0
1967-05-31,4.85,3.6,3.6835200322938744,1.1664799677061253,0.2926070298992385,0.0
1967-06-30,5.02,3.54,3.621573715463876,1.3984262845361237,0.2556747619465183,0.0
1967-07-31,5.16,4.21,4.314385674886269,0.8456143251137309,0.27675022397111293,0.0
1967-08-31,5.28,4.27,4.376544272442864,0.9034557275571364,0.26965549532564814,0.0
1967-09-30,5.3,4.42,4.532024188025209,0.7679758119747913,0.3750935434578232,0.0
1967-10-31,5.48,4.56,4.677246393428249,0.8027536065717511,0.41138894653675806,0.0
1967-11-30,5.75,4.73,4.853727497970879,0.8962725020291211,0.36741512561413314,0.0
1967-12-31,5.7,4.97,5.103138793953931,0.5968612060460687,0.35445691777710875,0.0
1968-01-31,5.53,5.0,5.134336756224505,0.39566324377549567,0.3569570220179327,0.0
1968-02-28,5.56,4.98,5.113537582264742,0.4464624177352574,0.30734398448785755,0.0
1968-03-31,5.74,5.17,5.311215768967391,0.4287842310326093,0.26000627973682533,0.0
1968-04-30,5.64,5.38,5.5299261456214825,0.11007385437851713,0.17102217693518668,0.0
1968-05-31,5.87,5.66,5.82190642001931,0.04809357998068986,0.1017430963620504,0.0
1968-06-30,5.72,5.52,5.675863887442785,0.04413611255721506,0.07802185946301098,0.0
1968-07-31,5.5,5.31,5.456996536004521,0.04300346399547905,0.14263086448322293,0.0
1968-08-31,5.42,5.09,5.227959403221616,0.1920405967783836,0.13453918133805043,0.0
1968-09-30,5.46,5.19,5.332035191685588,0.12796480831441226,0.1539997459438867,0.0
1968-10-31,5.58,5.35,5.498667395035358,0.08133260496464167,0.14883498962266695,0.0
1968-11-30,5.7,5.45,5.6028819247381625,0.09711807526183769,0.13552657713255992,0.0
1968-12-31,6.03,5.96,6.135208096195912,-0.10520809619591187,0.18111788095469195,0.0
1969-01-31,6.04,6.14,6.3234207813153365,-0.28342078131533643,0.21659199051147573,0.0
1969-02-28,6.19,6.12,6.302499669893249,-0.112499669893249,0.20727560297287503,0.0
1969-03-31,6.3,6.02,6.197926333444093,0.10207366655590722,0.2104905171128627,0.0
1969-04-30,6.17,6.11,6.292039919884866,-0.12203991988486607,0.2732620782235919,0.0
1969-05-31,6.32,6.04,6.2188367057485445,0.10116329425145576,0.28646444400185467,0.0
1969-06-30,6.57,6.44,6.6374954961263875,-0.06749549612638717,0.28731759631975956,0.0
1969-07-31,6.72,7.0,7.225065746684388,-0.5050657466843882,0.28756199421587836,0.0
1969-08-31,6.69,6.98,7.204051936359355,-0.5140519363593548,0.25627840135545477,0.0
1969-09-30,7.16,7.09,7.319654666507896,-0.15965466650789573,0.26950798187366987,0.0
1969-10-31,7.1,7.0,7.225065746684388,-0.1250657466843883,0.27934663705303736,0.0
1969-11-30,7.14,7.24,7.4774002890680435,-0.33740028906804387,0.27599669248010333,0.0
1969-12-31,7.65,7.82,8.08849825353275,-0.4384982535327495,0.3203560931194821,0.0
1970-01-31,7.79,7.87,8.141264709641783,-0.35126470964178313,0.36170892001667765,1.0
1970-02-28,7.24,7.13,7.361708254634853,-0.12170825463485269,0.32200921197744964,1.0
1970-03-31,7.07,6.63,6.836660058700437,0.2333399412995636,0.27494911572470226,1.0
1970-04-30,7.39,6.51,6.710849284009446,0.6791507159905539,0.32417746825349425,1.0
1970-05-31,7.91,6.84,7.057015803237984,0.8529841967620158,0.27514141496891054,1.0
1970-06-30,7.84,6.68,6.889104128263579,0.9508958717364209,0.31186341183663224,1.0
1970-07-31,7.46,6.45,6.647972993006816,0.8120270069931843,0.41543208021656797,1.0
1970-08-31,7.53,6.41,6.6060662360034215,0.9239337639965788,0.4176515239989797,1.0
1970-09-30,7.39,6.12,6.302499669893249,1.0875003301067503,0.3327840051785427,1.0
1970-10-31,7.33,5.91,6.082957651515601,1.247042348484399,0.32486641378203507,1.0
1970-11-30,6.84,5.28,5.425748996608063,1.4142510033919367,0.3745881693665245,1.0
1970-12-31,6.39,4.87,4.999180185635221,1.3908198143647788,0.39907943049696537,0.0
1971-01-31,6.24,4.44,4.552763852976574,1.6872361470234258,0.3779195297003364,0.0
1971-02-28,6.11,3.7,3.7868060443088556,2.3231939556911447,0.32410198848258365,0.0
1971-03-31,5.7,3.38,3.4564761929843932,2.243523807015607,0.24793442186021952,0.0
1971-04-30,5.83,3.86,3.9521733446960536,1.8778266553039464,0.16772297966466918,0.0
1971-05-31,6.39,4.14,4.241891393432269,2.148108606567731,0.14158194901758991,0.0
1971-06-30,6.52,4.75,4.874500073802812,1.6454999261971874,0.12814218599147104,0.0
1971-07-31,6.73,5.4,5.550767982967506,1.1792320170324944,0.14747759912882968,0.0
1971-08-31,6.58,4.94,5.071945623207126,1.5080543767928738,0.13175145188661258,0.0
1971-09-30,6.14,4.69,4.812188722918174,1.3278112770818256,0.1109128730191269,0.0
1971-10-31,5.93,4.46,4.573505638849541,1.3564943611504585,0.09297127353654104,0.0
