,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,95.05,5.63,152.95,9.02,14.51,NA,,NA,,,1.00,2.11,11.85%,5.39%,6.46%,,,,
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,98.90,5.72,159.91,9.23,14.93,NA,,NA,,,1.00,2.16,10.97%,5.17%,5.80%,,,,
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,102.74,5.76,166.90,9.36,15.20,NA,,NA,,,1.00,2.19,10.71%,5.18%,5.53%,,,,
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,106.48,5.92,173.78,9.70,15.83,NA,,NA,,,1.00,2.28,10.59%,4.96%,5.63%,,,,
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,111.19,6.03,182.28,9.94,16.30,NA,,NA,,,1.00,2.34,9.89%,4.85%,5.04%,,,,
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,112.19,5.94,184.74,9.86,16.23,NA,,NA,,,1.00,2.32,9.94%,4.85%,5.09%,,,,
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,109.99,5.84,181.92,9.78,16.17,NA,,NA,,,1.00,2.31,10.38%,4.97%,5.42%,,,,
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,112.22,5.82,186.41,9.80,16.28,NA,,NA,,,1.00,2.32,10.42%,4.97%,5.46%,,,,
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,112.19,5.86,187.17,9.94,16.58,NA,,NA,,,1.00,2.35,10.23%,4.73%,5.50%,,,,
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,113.14,5.90,189.57,10.08,16.89,NA,,NA,,,1.00,2.39,9.77%,4.49%,5.28%,,,,
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,115.11,6.01,193.70,10.34,17.41,NA,,NA,,,1.00,2.46,9.37%,4.25%,5.11%,,,,
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,118.07,5.99,199.53,10.42,17.60,NA,,NA,,,1.00,2.44,9.68%,4.74%,4.94%,,,,
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,120.97,5.98,205.27,10.49,17.80,NA,,NA,,,1.00,2.42,9.66%,4.97%,4.69%,,,,
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,120.38,6.10,205.13,10.80,18.41,NA,,NA,,,1.00,2.46,9.61%,4.96%,4.66%,,,,
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,125.78,6.23,215.23,11.12,19.03,NA,,NA,,,1.00,2.50,9.10%,4.82%,4.29%,,,,
