,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1948.04,15.40,0.85,1.76,23.80,1948.29,2.41,176.65,9.75,"10,469.92",20.19,"1,196.56",10.78,,13.91,,12.17%,1.00,10.88,14.50%,0.38%,14.11%,,,,
1948.05,16.15,0.85,1.81,23.90,1948.37,2.40,184.48,9.71,"10,981.83",20.68,"1,230.78",11.24,,14.50,,11.92%,1.00,10.87,14.35%,0.39%,13.96%,,,,
1948.06,16.82,0.85,1.86,24.10,1948.46,2.39,190.54,9.63,"11,390.27",21.07,"1,259.57",11.58,,14.93,,11.75%,1.00,10.81,14.24%,0.42%,13.82%,,,,
1948.07,16.42,0.86,1.93,24.40,1948.54,2.38,183.72,9.58,"11,030.43",21.59,"1,296.51",11.13,,14.34,,12.24%,1.00,10.71,14.92%,0.31%,14.61%,,,,
1948.08,15.94,0.86,2.00,24.50,1948.62,2.36,177.62,9.62,"10,712.41",22.29,"1,344.09",10.72,,13.80,,12.64%,1.00,10.70,15.75%,0.09%,15.66%,,,,
1948.09,15.76,0.87,2.07,24.50,1948.71,2.35,175.61,9.69,"10,640.17",23.07,"1,397.53",10.55,,13.58,,12.80%,1.00,10.73,16.17%,-0.09%,16.25%,,,,
1948.1,16.19,0.89,2.14,24.40,1948.79,2.34,181.14,9.96,"11,025.55",23.98,"1,459.63",10.83,,13.93,,12.61%,1.00,10.81,16.25%,-0.16%,16.41%,,,,
1948.11,15.29,0.91,2.22,24.20,1948.87,2.33,172.49,10.27,"10,550.77",25.01,"1,529.60",10.25,,13.19,,13.05%,1.00,10.93,17.10%,-0.23%,17.33%,,,,
1948.12,15.19,0.93,2.29,24.10,1948.96,2.32,172.07,10.53,"10,578.96",25.94,"1,594.85",10.16,,13.07,,13.10%,1.00,11.00,17.36%,-0.33%,17.69%,,,,
1949.01,15.36,0.95,2.32,24.00,1949.04,2.31,174.72,10.77,"10,797.09",26.39,"1,630.81",10.25,,13.19,,12.99%,1.00,11.08,17.57%,-0.53%,18.10%,,,,
1949.02,14.77,0.96,2.35,23.80,1949.12,2.31,169.42,11.05,"10,526.51",26.96,"1,674.83",9.87,,12.71,,13.34%,1.00,11.20,17.76%,-0.52%,18.28%,,,,
1949.03,14.91,0.98,2.38,23.80,1949.21,2.31,171.03,11.24,"10,684.49",27.30,"1,705.51",9.90,,12.74,,13.31%,1.00,11.22,17.91%,-0.53%,18.44%,,,,
1949.04,14.89,0.99,2.39,23.90,1949.29,2.31,170.08,11.35,"10,684.59",27.26,"1,712.60",9.78,,12.59,,13.55%,1.00,11.19,18.10%,-0.61%,18.71%,,,,
1949.05,14.78,1.01,2.39,23.80,1949.37,2.31,169.54,11.55,"10,710.66",27.45,"1,734.38",9.69,,12.48,,13.61%,1.00,11.26,18.28%,-0.79%,19.07%,,,,
1949.06,13.97,1.02,2.40,23.90,1949.46,2.31,159.58,11.65,"10,142.66",27.41,"1,742.48",9.07,,11.68,,14.36%,1.00,11.23,18.81%,-0.79%,19.60%,,,,
1949.07,14.76,1.03,2.40,23.70,1949.54,2.32,170.02,11.83,"10,869.30",27.61,"1,764.91",9.61,,12.38,,13.65%,1.00,11.35,18.44%,-0.94%,19.38%,,,,
1949.08,15.29,1.03,2.39,23.80,1949.62,2.32,175.39,11.85,"11,275.43",27.45,"1,764.93",9.85,,12.69,,13.44%,1.00,11.32,17.97%,-0.90%,18.87%,,,,
1949.09,15.49,1.04,2.39,23.90,1949.71,2.32,176.94,11.88,"11,438.76",27.30,"1,764.92",9.88,,12.74,,13.22%,1.00,11.29,17.32%,-1.07%,18.39%,,,,
1949.1,15.89,1.07,2.37,23.70,1949.79,2.32,183.04,12.36,"11,899.78",27.26,"1,772.36",10.17,,13.10,,12.92%,1.00,11.41,16.83%,-1.05%,17.88%,,,,
1949.11,16.11,1.11,2.34,23.80,1949.87,2.32,184.79,12.69,"12,082.62",26.88,"1,757.51",10.22,,13.17,,12.92%,1.00,11.38,16.73%,-0.99%,17.72%,,,,
1949.12,16.54,1.14,2.32,23.60,1949.96,2.32,191.33,13.19,"12,582.10",26.84,"1,764.84",10.53,,13.57,,12.54%,1.00,11.50,16.66%,-1.18%,17.84%,,,,
1950.01,16.88,1.15,2.34,23.50,1950.04,2.32,196.10,13.36,"12,968.60",27.15,"1,795.22",10.75,,13.85,,12.38%,1.00,11.57,16.17%,-1.19%,17.36%,,,,
1950.02,17.21,1.16,2.35,23.50,1950.12,2.34,199.93,13.48,"13,296.40",27.34,"1,818.18",10.91,,14.06,,12.14%,1.00,11.57,15.42%,-1.01%,16.43%,,,,
1950.03,17.35,1.17,2.37,23.60,1950.21,2.36,200.70,13.53,"13,422.77",27.42,"1,833.54",10.91,,14.06,,12.16%,1.00,11.53,15.19%,-0.74%,15.93%,,,,
1950.04,17.84,1.18,2.43,23.60,1950.29,2.38,206.37,13.65,"13,877.93",28.07,"1,887.73",11.18,,14.39,,11.92%,1.00,11.53,14.94%,-0.76%,15.71%,,,,
1950.05,18.44,1.19,2.48,23.70,1950.37,2.40,212.41,13.71,"14,360.97",28.61,"1,934.00",11.46,,14.75,,11.73%,1.00,11.48,14.48%,-0.74%,15.22%,,,,
1950.06,18.74,1.20,2.54,23.80,1950.46,2.42,214.96,13.76,"14,610.84",29.14,"1,980.34",11.55,,14.86,,11.61%,1.00,11.43,14.69%,-0.54%,15.23%,,,,
1950.07,17.38,1.24,2.60,24.10,1950.54,2.45,196.88,14.08,"13,461.60",29.45,"2,013.82",10.54,,13.55,,12.62%,1.00,11.29,15.38%,-0.18%,15.56%,,,,
1950.08,18.43,1.29,2.66,24.30,1950.62,2.47,207.06,14.46,"14,239.75",29.88,"2,055.22",11.04,,14.19,,12.26%,1.00,11.20,14.90%,0.01%,14.89%,,,,
1950.09,19.08,1.33,2.72,24.40,1950.71,2.49,213.48,14.88,"14,766.83",30.43,"2,105.12",11.34,,14.56,,12.05%,1.00,11.16,14.17%,0.08%,14.09%,,,,
1950.1,19.87,1.38,2.76,24.60,1950.79,2.51,220.51,15.28,"15,341.28",30.63,"2,130.95",11.66,,14.97,,11.87%,1.00,11.07,13.47%,0.05%,13.41%,,,,
1950.11,19.83,1.42,2.80,24.70,1950.87,2.53,219.18,15.73,"15,339.62",30.95,"2,165.96",11.54,,14.81,,11.98%,1.00,11.03,13.86%,0.09%,13.77%,,,,
1950.12,19.75,1.47,2.84,25.00,1950.96,2.55,215.67,16.05,"15,188.03",31.01,"2,184.00",11.31,,14.51,,12.19%,1.00,10.90,14.28%,0.31%,13.97%,,,,
1951.01,21.21,1.49,2.84,25.40,1951.04,2.57,227.97,15.98,"16,147.70",30.49,"2,159.63",11.90,,15.26,,11.90%,1.00,10.73,14.18%,0.50%,13.68%,,,,
1951.02,22.00,1.50,2.83,25.70,1951.12,2.58,233.70,15.97,"16,647.89",30.10,"2,144.04",12.14,,15.57,,11.84%,1.00,10.62,14.32%,0.69%,13.63%,,,,
1951.03,21.63,1.52,2.83,25.80,1951.21,2.59,228.88,16.08,"16,399.94",29.95,"2,145.72",11.84,,15.18,,12.01%,1.00,10.59,14.88%,0.78%,14.10%,,,,
1951.04,21.92,1.53,2.79,25.80,1951.29,2.60,231.95,16.22,"16,716.70",29.56,"2,130.26",11.95,,15.31,,11.85%,1.00,10.61,14.99%,0.76%,14.23%,,,,
1951.05,21.93,1.55,2.76,25.90,1951.37,2.61,231.16,16.30,"16,757.67",29.06,"2,106.49",11.86,,15.20,,11.87%,1.00,10.58,15.10%,0.88%,14.23%,,,,
1951.06,21.55,1.56,2.72,25.90,1951.46,2.62,227.15,16.44,"16,566.64",28.67,"2,091.01",11.62,,14.88,,11.82%,1.00,10.60,15.11%,0.75%,14.36%,,,,
1951.07,21.93,1.55,2.65,25.90,1951.54,2.63,231.16,16.30,"16,957.85",27.93,"2,049.17",11.78,,15.09,,11.69%,1.00,10.61,14.76%,0.67%,14.09%,,,,
1951.08,22.89,1.53,2.58,25.90,1951.62,2.63,241.28,16.16,"17,798.99",27.19,"2,006.18",12.26,,15.70,,11.21%,1.00,10.63,14.68%,0.63%,14.05%,,,,
1951.09,23.48,1.52,2.51,26.10,1951.71,2.64,245.60,15.90,"18,215.60",26.25,"1,947.24",12.44,,15.94,,11.02%,1.00,10.56,14.31%,0.74%,13.57%,,,,
1951.1,23.36,1.48,2.49,26.20,1951.79,2.65,243.41,15.46,"18,148.87",25.91,"1,931.95",12.31,,15.76,,11.00%,1.00,10.53,14.51%,0.85%,13.66%,,,,
1951.11,22.71,1.45,2.46,26.40,1951.87,2.66,234.84,14.96,"17,603.16",25.47,"1,909.40",11.85,,15.17,,11.31%,1.00,10.47,15.40%,0.92%,14.47%,,,,
1951.12,23.41,1.41,2.44,26.50,1951.96,2.67,241.17,14.53,"18,168.01",25.14,"1,893.63",12.15,,15.54,,11.07%,1.00,10.44,15.16%,0.88%,14.28%,,,,
1952.01,24.19,1.41,2.43,26.50,1952.04,2.68,249.21,14.56,"18,864.75",25.00,"1,892.46",12.53,,16.02,,10.68%,1.00,10.46,14.33%,0.89%,13.44%,,,,
1952.02,23.75,1.42,2.41,26.30,1952.12,2.69,246.53,14.71,"18,755.23",25.05,"1,905.79",12.36,,15.81,,10.62%,1.00,10.55,14.57%,0.83%,13.74%,,,,
1952.03,23.81,1.42,2.40,26.30,1952.21,2.71,247.16,14.74,"18,896.06",24.91,"1,904.68",12.36,,15.81,,10.48%,1.00,10.56,14.52%,0.94%,13.58%,,,,
1952.04,23.74,1.43,2.38,26.40,1952.29,2.72,245.50,14.79,"18,863.36",24.61,"1,891.10",12.24,,15.66,,10.52%,1.00,10.53,14.16%,1.04%,13.12%,,,,
1952.05,23.73,1.44,2.36,26.40,1952.37,2.73,245.39,14.89,"18,950.76",24.40,"1,884.69",12.20,,15.61,,10.41%,1.00,10.55,13.26%,1.04%,12.22%,,,,
1952.06,24.38,1.45,2.34,26.50,1952.46,2.74,251.16,14.94,"19,492.51",24.11,"1,870.90",12.45,,15.93,,10.27%,1.00,10.52,11.59%,1.07%,10.52%,,,,
1952.07,25.08,1.45,2.35,26.70,1952.54,2.76,256.44,14.83,"19,997.86",23.99,"1,871.15",12.67,,16.21,,10.13%,1.00,10.45,11.56%,1.05%,10.52%,,,,
1952.08,25.18,1.45,2.35,26.70,1952.62,2.77,257.46,14.83,"20,173.95",24.06,"1,885.46",12.68,,16.23,,10.05%,1.00,10.47,11.80%,1.09%,10.70%,,,,
1952.09,24.78,1.45,2.36,26.70,1952.71,2.78,253.37,14.83,"19,950.28",24.13,"1,900.03",12.43,,15.92,,10.19%,1.00,10.48,11.82%,1.08%,10.74%,,,,
1952.1,24.26,1.44,2.37,26.70,1952.79,2.79,248.05,14.69,"19,628.02",24.27,"1,920.19",12.13,,15.54,,10.26%,1.00,10.49,11.68%,1.14%,10.53%,,,,
1952.11,25.03,1.42,2.39,26.70,1952.87,2.81,255.93,14.55,"20,346.97",24.40,"1,940.13",12.47,,15.99,,9.95%,1.00,10.50,12.05%,1.17%,10.88%,,,,
1952.12,26.04,1.41,2.40,26.70,1952.96,2.82,266.25,14.42,"21,263.52",24.54,"1,959.77",12.93,,16.58,,9.59%,1.00,10.52,12.07%,1.24%,10.82%,,,,
1953.01,26.18,1.41,2.41,26.60,1953.04,2.83,268.69,14.47,"21,554.51",24.73,"1,984.20",13.01,,16.67,,9.50%,1.00,10.57,12.37%,1.25%,11.12%,,,,
1953.02,25.86,1.41,2.42,26.50,1953.12,2.80,266.41,14.53,"21,468.50",24.93,"2,009.04",12.86,,16.48,,9.58%,1.00,10.66,12.59%,1.12%,11.47%,,,,
1953.03,25.99,1.41,2.43,26.60,1953.21,2.77,266.74,14.47,"21,592.49",24.94,"2,018.84",12.83,,16.45,,9.48%,1.00,10.67,12.48%,1.10%,11.38%,,,,
1953.04,24.71,1.41,2.46,26.60,1953.29,2.83,253.61,14.51,"20,626.91",25.21,"2,050.73",12.16,,15.59,,9.73%,0.98,10.65,13.54%,1.13%,12.42%,,,,
1953.05,24.84,1.42,2.48,26.70,1953.37,3.05,253.98,14.49,"20,755.95",25.39,"2,075.04",12.14,,15.56,,9.50%,1.00,10.43,13.73%,1.40%,12.33%,,,,
1953.06,23.95,1.42,2.51,26.80,1953.46,3.11,243.97,14.47,"20,036.12",25.57,"2,099.82",11.62,,14.90,,9.85%,1.02,10.37,14.12%,1.41%,12.71%,,,,
1953.07,24.29,1.42,2.52,26.80,1953.54,2.93,247.43,14.47,"20,419.55",25.70,"2,121.25",11.75,,15.07,,9.99%,1.00,10.55,13.73%,1.21%,12.52%,,,,
1953.08,24.39,1.42,2.54,26.90,1953.62,2.95,247.53,14.41,"20,526.50",25.74,"2,134.85",11.72,,15.03,,10.10%,1.01,10.52,14.01%,1.29%,12.72%,,,,
1953.09,23.27,1.42,2.55,26.90,1953.71,2.87,236.16,14.41,"19,683.50",25.88,"2,156.98",11.14,,14.29,,10.56%,1.02,10.62,14.81%,1.16%,13.65%,,,,
1953.1,23.97,1.43,2.54,27.00,1953.79,2.66,242.37,14.46,"20,300.95",25.65,"2,148.39",11.39,,14.62,,10.61%,1.00,10.80,14.48%,0.97%,13.51%,,,,
1953.11,24.50,1.44,2.52,26.90,1953.87,2.68,248.65,14.61,"20,928.97",25.61,"2,155.54",11.64,,14.95,,10.36%,1.01,10.84,14.10%,0.95%,13.14%,,,,
1953.12,24.83,1.45,2.51,26.90,1953.96,2.59,251.99,14.72,"21,314.09",25.47,"2,154.59",11.75,,15.10,,10.37%,1.01,10.95,14.12%,0.85%,13.27%,,,,
1954.01,25.46,1.46,2.52,26.90,1954.04,2.48,258.39,14.78,"21,959.08",25.61,"2,176.36",12.00,,15.43,,10.30%,1.00,11.08,14.15%,0.73%,13.43%,,,,
1954.02,26.02,1.46,2.54,26.90,1954.12,2.47,264.07,14.85,"22,547.25",25.74,"2,198.11",12.22,,15.71,,10.17%,1.01,11.12,14.02%,0.75%,13.27%,,,,
1954.03,26.57,1.47,2.55,26.90,1954.21,2.37,269.65,14.92,"23,130.00",25.88,"2,219.85",12.42,,15.97,,10.13%,1.01,11.24,13.96%,0.62%,13.34%,,,,
1954.04,27.63,1.46,2.57,26.80,1954.29,2.29,281.46,14.91,"24,249.06",26.21,"2,258.45",12.91,,16.60,,9.81%,0.99,11.38,13.62%,0.52%,13.10%,,,,
1954.05,28.73,1.46,2.60,26.90,1954.37,2.37,291.58,14.78,"25,226.87",26.35,"2,280.05",13.31,,17.12,,9.54%,1.00,11.28,13.31%,0.67%,12.64%,,,,
1954.06,28.96,1.45,2.62,26.90,1954.46,2.38,293.91,14.72,"25,534.92",26.59,"2,310.13",13.36,,17.18,,9.44%,1.01,11.29,13.09%,0.68%,12.41%,,,,
1954.07,30.13,1.46,2.62,26.90,1954.54,2.30,305.78,14.78,"26,673.58",26.62,"2,322.39",13.83,,17.78,,9.20%,1.00,11.39,13.00%,0.58%,12.42%,,,,
1954.08,30.73,1.46,2.63,26.90,1954.62,2.36,311.87,14.85,"27,312.70",26.66,"2,334.57",14.04,,18.05,,9.04%,1.00,11.36,12.63%,0.68%,11.95%,,,,
1954.09,31.45,1.47,2.63,26.80,1954.71,2.38,320.37,14.97,"28,166.22",26.79,"2,355.39",14.36,,18.45,,8.82%,1.00,11.40,12.47%,0.64%,11.83%,,,,
1954.1,32.18,1.49,2.68,26.80,1954.79,2.43,327.81,15.21,"28,931.45",27.27,"2,406.46",14.62,,18.78,,8.65%,1.00,11.37,12.39%,0.70%,11.68%,,,,
1954.11,33.44,1.52,2.72,26.80,1954.87,2.48,340.64,15.45,"30,177.89",27.74,"2,457.67",15.12,,19.41,,8.37%,1.00,11.35,11.98%,0.76%,11.22%,,,,
1954.12,34.97,1.54,2.77,26.70,1954.96,2.51,357.56,15.75,"31,793.08",28.32,"2,518.35",15.79,,20.26,,7.96%,0.99,11.38,11.23%,0.74%,10.49%,,,,
1955.01,35.60,1.55,2.83,26.70,1955.04,2.61,364.00,15.81,"32,483.02",28.97,"2,585.26",15.99,,20.50,,7.78%,1.00,11.31,11.30%,0.83%,10.47%,,,,
1955.02,36.79,1.55,2.90,26.70,1955.12,2.65,376.17,15.88,"33,686.94",29.62,"2,652.35",16.44,,21.06,,7.57%,1.00,11.29,11.01%,0.87%,10.14%,,,,
1955.03,36.50,1.56,2.96,26.70,1955.21,2.68,373.21,15.95,"33,540.44",30.27,"2,719.99",16.22,,20.76,,7.62%,1.00,11.29,11.06%,0.87%,10.18%,,,,
1955.04,37.76,1.56,3.05,26.70,1955.29,2.75,386.09,15.98,"34,817.99",31.15,"2,809.29",16.69,,21.33,,7.38%,1.00,11.24,10.78%,0.92%,9.86%,,,,
1955.05,37.60,1.57,3.13,26.70,1955.37,2.76,384.45,16.02,"34,790.84",32.04,"2,899.23",16.52,,21.10,,7.37%,1.00,11.26,10.98%,0.94%,10.04%,,,,
1955.06,39.78,1.57,3.22,26.70,1955.46,2.78,406.74,16.05,"36,929.02",32.92,"2,989.23",17.37,,22.16,,6.94%,0.99,11.27,9.74%,0.90%,8.84%,,,,
1955.07,42.69,1.59,3.29,26.80,1955.54,2.90,434.87,16.16,"39,604.88",33.55,"3,055.33",18.45,,23.50,,6.52%,1.00,11.13,8.99%,1.06%,7.92%,,,,
1955.08,42.43,1.60,3.37,26.80,1955.62,2.97,432.22,16.33,"39,487.63",34.30,"3,133.20",18.22,,23.17,,6.52%,1.00,11.09,9.25%,1.10%,8.15%,,,,
1955.09,44.34,1.62,3.44,26.90,1955.71,2.97,450.00,16.44,"41,236.94",34.91,"3,199.26",18.84,,23.93,,6.38%,1.01,11.08,9.16%,1.11%,8.05%,,,,
1955.1,42.11,1.63,3.50,26.90,1955.79,2.88,427.37,16.51,"39,289.07",35.52,"3,265.54",17.77,,22.53,,6.79%,1.00,11.19,9.93%,0.96%,8.96%,,,,
1955.11,44.95,1.63,3.56,26.90,1955.87,2.89,456.19,16.58,"42,065.82",36.13,"3,331.58",18.84,,23.84,,6.46%,1.00,11.21,9.30%,0.90%,8.39%,,,,
1955.12,45.37,1.64,3.62,26.80,1955.96,2.96,462.17,16.71,"42,745.67",36.88,"3,410.61",18.94,,23.94,,6.26%,1.01,11.21,9.07%,0.77%,8.29%,,,,
1956.01,44.15,1.67,3.64,26.80,1956.04,2.90,449.74,17.01,"41,727.36",37.11,"3,443.41",18.29,,23.08,,6.51%,1.01,11.30,9.54%,0.74%,8.80%,,,,
1956.02,44.43,1.70,3.67,26.80,1956.12,2.84,452.59,17.32,"42,125.89",37.35,"3,476.52",18.27,,23.02,,6.64%,0.99,11.38,9.32%,0.47%,8.86%,,,,
1956.03,47.49,1.73,3.69,26.80,1956.21,2.96,483.77,17.62,"45,163.89",37.59,"3,509.26",19.37,,24.37,,6.09%,0.98,11.29,8.10%,0.52%,7.58%,,,,
1956.04,48.05,1.75,3.66,26.90,1956.29,3.18,487.65,17.79,"45,665.02",37.14,"3,478.33",19.37,,24.34,,5.85%,1.01,11.07,8.27%,0.80%,7.47%,,,,
1956.05,46.54,1.78,3.63,27.00,1956.37,3.07,470.58,17.96,"44,206.34",36.70,"3,447.98",18.54,,23.27,,6.18%,1.01,11.16,8.07%,0.73%,7.34%,,,,
1956.06,46.27,1.80,3.60,27.20,1956.46,3.00,464.41,18.07,"43,768.15",36.13,"3,405.35",18.16,,22.77,,6.33%,0.99,11.17,8.08%,0.71%,7.38%,,,,
1956.07,48.78,1.81,3.55,27.40,1956.54,3.11,486.03,18.07,"45,947.52",35.40,"3,347.00",18.86,,23.62,,5.50%,0.98,11.02,7.53%,0.69%,6.83%,,,,
1956.08,48.49,1.83,3.51,27.30,1956.62,3.33,484.91,18.27,"45,985.57",35.07,"3,325.56",18.67,,23.37,,5.08%,1.00,10.88,6.81%,0.64%,6.17%,,,,
1956.09,46.84,1.84,3.46,27.40,1956.71,3.38,466.70,18.33,"44,403.56",34.47,"3,280.02",17.84,,22.31,,5.22%,1.01,10.82,6.84%,0.77%,6.07%,,,,
1956.1,46.24,1.81,3.44,27.50,1956.79,3.34,459.04,17.94,"43,817.57",34.18,"3,262.94",17.42,,21.78,,5.23%,0.99,10.85,6.86%,0.86%,6.00%,,,,
1956.11,45.76,1.77,3.43,27.50,1956.87,3.49,454.28,17.60,"43,502.76",34.02,"3,257.64",17.12,,21.39,,4.94%,0.99,10.75,7.49%,0.88%,6.61%,,,,
1956.12,46.44,1.74,3.41,27.60,1956.96,3.59,459.36,17.21,"44,126.60",33.73,"3,240.13",17.20,,21.47,,4.75%,1.01,10.65,7.41%,1.27%,6.15%,,,,
1957.01,45.43,1.74,3.41,27.60,1957.04,3.46,449.37,17.18,"43,304.43",33.70,"3,247.28",16.72,,20.86,,5.05%,1.01,10.80,8.05%,1.37%,6.68%,,,,
1957.02,43.47,1.73,3.40,27.70,1957.12,3.34,428.43,17.08,"41,423.73",33.54,"3,243.12",15.84,,19.76,,5.54%,1.00,10.90,8.93%,1.28%,7.65%,,,,
1957.03,44.03,1.73,3.40,27.80,1957.21,3.41,432.39,16.99,"41,943.33",33.39,"3,238.87",15.90,,19.82,,5.29%,1.00,10.82,9.04%,1.43%,7.62%,,,,
1957.04,45.05,1.73,3.41,27.90,1957.29,3.48,440.82,16.93,"42,898.02",33.33,"3,243.94",16.12,,20.09,,5.17%,0.99,10.75,8.98%,1.46%,7.52%,,,,
1957.05,46.78,1.73,3.41,28.00,1957.37,3.60,456.11,16.87,"44,523.07",33.28,"3,248.65",16.60,,20.66,,4.91%,0.99,10.64,8.76%,1.37%,7.40%,,,,
1957.06,47.55,1.73,3.42,28.10,1957.46,3.80,461.97,16.81,"45,231.59",33.23,"3,253.25",16.73,,20.81,,4.65%,0.99,10.46,8.45%,1.42%,7.03%,,,,
1957.07,48.51,1.74,3.44,28.30,1957.54,3.93,467.96,16.79,"45,955.63",33.15,"3,255.71",16.87,,20.96,,4.46%,1.00,10.31,8.46%,1.47%,6.99%,,,,
1957.08,45.84,1.75,3.45,28.30,1957.62,3.93,442.21,16.88,"43,564.38",33.31,"3,281.90",15.87,,19.70,,4.69%,1.00,10.34,9.21%,1.35%,7.86%,,,,
1957.09,43.98,1.76,3.47,28.30,1957.71,3.92,424.26,16.98,"41,936.10",33.47,"3,308.74",15.16,,18.81,,4.77%,1.00,10.38,9.77%,1.31%,8.46%,,,,
1957.1,41.24,1.77,3.44,28.30,1957.79,3.97,397.83,17.07,"39,464.08",33.15,"3,288.68",14.15,,17.55,,5.19%,1.02,10.37,10.42%,1.19%,9.23%,,,,
1957.11,40.35,1.78,3.40,28.40,1957.87,3.72,387.88,17.11,"38,617.90",32.72,"3,257.24",13.74,,17.04,,5.65%,1.05,10.59,10.30%,0.80%,9.51%,,,,
1957.12,40.33,1.79,3.37,28.40,1957.96,3.21,387.68,17.21,"38,741.52",32.40,"3,237.27",13.67,,16.95,,6.06%,1.01,11.08,10.58%,0.40%,10.18%,,,,
1958.01,41.12,1.78,3.29,28.60,1958.04,3.09,392.51,17.02,"39,365.93",31.44,"3,152.85",13.79,,17.09,,6.06%,1.01,11.14,10.33%,0.46%,9.87%,,,,
1958.02,41.26,1.78,3.22,28.60,1958.12,3.05,393.85,16.96,"39,641.70",30.70,"3,090.51",13.78,,17.09,,6.19%,1.01,11.21,9.74%,0.39%,9.35%,,,,
1958.03,42.11,1.77,3.14,28.80,1958.21,2.98,399.17,16.78,"40,318.13",29.76,"3,006.39",13.93,,17.26,,6.30%,1.01,11.22,9.35%,0.26%,9.10%,,,,
1958.04,42.34,1.76,3.07,28.90,1958.29,2.88,399.96,16.59,"40,537.75",29.00,"2,939.32",13.91,,17.24,,6.27%,1.00,11.31,10.07%,0.28%,9.80%,,,,
1958.05,43.70,1.74,3.00,28.90,1958.37,2.92,412.81,16.47,"41,978.95",28.34,"2,881.85",14.32,,17.74,,5.98%,1.00,11.30,9.94%,0.13%,9.80%,,,,
1958.06,44.75,1.73,2.93,28.90,1958.46,2.97,422.73,16.34,"43,126.09",27.68,"2,823.67",14.64,,18.12,,5.70%,0.98,11.28,9.89%,0.25%,9.64%,,,,
1958.07,45.98,1.73,2.91,29.00,1958.54,3.20,432.85,16.29,"44,297.11",27.43,"2,806.70",14.96,,18.51,,5.23%,0.97,11.05,9.54%,0.62%,8.93%,,,,
1958.08,47.70,1.73,2.90,28.90,1958.62,3.54,450.60,16.34,"46,252.54",27.36,"2,808.77",15.54,,19.23,,4.56%,0.98,10.80,8.83%,0.92%,7.90%,,,,
1958.09,48.96,1.73,2.88,28.90,1958.71,3.76,462.50,16.34,"47,614.10",27.21,"2,800.83",15.93,,19.70,,4.18%,1.00,10.64,8.85%,1.06%,7.79%,,,,
1958.1,50.95,1.74,2.88,28.90,1958.79,3.80,481.30,16.41,"49,690.14",27.24,"2,812.03",16.56,,20.46,,3.95%,1.01,10.63,8.62%,0.96%,7.66%,,,,
1958.11,52.50,1.74,2.89,29.00,1958.87,3.74,494.23,16.41,"51,166.45",27.17,"2,813.35",16.99,,20.97,,3.97%,0.99,10.68,8.46%,0.84%,7.62%,,,,
1958.12,53.49,1.75,2.89,28.90,1958.96,3.86,505.29,16.53,"52,454.31",27.30,"2,834.04",17.36,,21.40,,3.73%,0.99,10.65,8.30%,0.64%,7.66%,,,,
1959.01,55.62,1.76,2.96,29.00,1959.04,4.02,523.60,16.54,"54,498.05",27.90,"2,903.55",17.98,,22.14,,3.45%,1.01,10.51,7.42%,0.79%,6.63%,,,,
1959.02,54.77,1.76,3.04,28.90,1959.12,3.96,517.38,16.66,"53,995.36",28.69,"2,993.72",17.76,,21.84,,3.63%,1.00,10.63,7.44%,0.56%,6.88%,,,,
1959.03,56.16,1.77,3.11,28.90,1959.21,3.99,530.51,16.72,"55,511.12",29.38,"3,074.07",18.20,,22.36,,3.46%,0.99,10.64,6.84%,0.44%,6.41%,,,,
1959.04,57.10,1.78,3.21,29.00,1959.29,4.12,537.53,16.73,"56,391.48",30.19,"3,166.88",18.43,,22.61,,3.26%,0.99,10.53,6.86%,0.64%,6.22%,,,,
1959.05,57.96,1.78,3.30,29.00,1959.37,4.31,545.63,16.79,"57,387.57",31.10,"3,270.71",18.69,,22.89,,3.04%,1.00,10.40,7.01%,0.67%,6.34%,,,,
1959.06,57.46,1.79,3.40,29.10,1959.46,4.34,539.06,16.79,"56,844.19",31.90,"3,363.56",18.45,,22.56,,3.07%,1.00,10.38,6.51%,0.51%,6.00%,,,,
1959.07,59.74,1.80,3.41,29.20,1959.54,4.40,558.53,16.80,"59,044.97",31.88,"3,370.33",19.09,,23.31,,2.95%,1.00,10.33,5.59%,0.45%,5.15%,,,,
1959.08,59.40,1.80,3.42,29.20,1959.62,4.43,555.36,16.86,"58,857.45",31.98,"3,388.76",18.96,,23.11,,2.91%,0.98,10.34,5.54%,0.46%,5.08%,,,,
1959.09,57.05,1.81,3.43,29.30,1959.71,4.68,531.56,16.86,"56,484.93",31.96,"3,396.03",18.12,,22.07,,2.90%,1.02,10.14,6.01%,0.34%,5.67%,,,,
1959.1,57.00,1.82,3.42,29.40,1959.79,4.53,529.29,16.87,"56,392.85",31.73,"3,380.28",18.02,,21.91,,3.20%,1.00,10.27,6.11%,0.27%,5.84%,,,,
